Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters
04/01/1958 12:00:00 AM,,64288,206831,,,
04/01/1959 12:00:00 AM,,,218418,,,121813
04/01/1960 12:00:00 AM,,72987,235428,,,
04/01/1961 12:00:00 AM,1,,38462,11455,,21784
04/01/1961 12:00:00 AM,2,,35935,10201,,19782
04/01/1961 12:00:00 AM,3,,40917,11326,,20186
04/01/1961 12:00:00 AM,4,,40838,11050,,25441
04/01/1961 12:00:00 AM,5,,41354,9412,,22733
04/01/1961 12:00:00 AM,6,,44167,13358,,22307
04/01/1962 12:00:00 AM,1,12808,42422,,,
04/01/1962 12:00:00 AM,2,10892,37175,,,
04/01/1962 12:00:00 AM,3,11196,42564,,,
04/01/1962 12:00:00 AM,4,15906,40321,,,
04/01/1962 12:00:00 AM,5,17040,55707,,,
04/01/1962 12:00:00 AM,6,13768,50879,,,
04/01/1963 12:00:00 AM,1,,44860,,,24636
04/01/1963 12:00:00 AM,2,,38183,,,20837
04/01/1963 12:00:00 AM,3,,44067,,,21663
04/01/1963 12:00:00 AM,4,,38662,,,25097
04/01/1963 12:00:00 AM,5,,56804,,,29854
04/01/1963 12:00:00 AM,6,,54399,,,26805
04/01/1964 12:00:00 AM,1,16127,52872,16514,,
04/01/1964 12:00:00 AM,2,11987,39799,12139,,
04/01/1964 12:00:00 AM,3,12438,46192,13815,,
04/01/1964 12:00:00 AM,4,18522,40189,12142,,
04/01/1964 12:00:00 AM,5,19348,57396,14496,,
04/01/1964 12:00:00 AM,6,15508,58476,18425,,
04/01/1965 12:00:00 AM,1,16931,55580,,,
04/01/1965 12:00:00 AM,2,12217,40330,,,
04/01/1965 12:00:00 AM,3,15032,56259,,,
04/01/1965 12:00:00 AM,4,18636,40851,,,
04/01/1965 12:00:00 AM,5,19430,57856,,,
04/01/1965 12:00:00 AM,6,15921,60240,,,
04/01/1966 12:00:00 AM,1,17716,58670,,,
04/01/1966 12:00:00 AM,2,12510,41792,,,
04/01/1966 12:00:00 AM,3,15416,57591,,,
04/01/1966 12:00:00 AM,4,18680,41481,,,
04/01/1966 12:00:00 AM,5,19795,59237,,,
04/01/1966 12:00:00 AM,6,17064,64518,,,
